,Stationscode,Datum,Feinstaub (PM₁₀) stündlich gleitendes Tagesmittel in µg/m³,Ozon (O₃) Ein-Stunden-Mittelwert in µg/m³,Stickstoffdioxid (NO₂) Ein-Stunden-Mittelwert in µg/m³,Luftqualitätsindex
2148,DENW059,'29.01.2021 13:00',7,58,19,sehr gut
2149,DENW059,'29.01.2021 14:00',7,56,21,gut
2150,DENW059,'29.01.2021 15:00',7,55,24,gut
2151,DENW059,'29.01.2021 16:00',7,53,26,gut
2152,DENW059,'29.01.2021 17:00',7,47,32,gut
2153,DENW059,'29.01.2021 18:00',7,43,30,gut
2154,DENW059,'29.01.2021 19:00',7,31,39,gut
2155,DENW059,'29.01.2021 20:00',7,35,32,gut
2156,DENW059,'29.01.2021 21:00',8,49,18,sehr gut
2157,DENW059,'29.01.2021 22:00',8,49,17,sehr gut
2158,DENW059,'29.01.2021 23:00',8,-,13,sehr gut
2159,DENW059,'29.01.2021 24:00',9,51,10,sehr gut
2160,DENW059,'30.01.2021 01:00',9,47,11,sehr gut
2161,DENW059,'30.01.2021 02:00',8,48,8,sehr gut
2162,DENW059,'30.01.2021 03:00',8,47,7,sehr gut
2163,DENW059,'30.01.2021 04:00',8,38,9,sehr gut
2164,DENW059,'30.01.2021 05:00',9,27,17,sehr gut
2165,DENW059,'30.01.2021 06:00',9,22,25,gut
2166,DENW059,'30.01.2021 07:00',9,15,32,gut
2167,DENW059,'30.01.2021 08:00',9,12,32,gut
2168,DENW059,'30.01.2021 09:00',9,16,26,gut
2169,DENW059,'30.01.2021 10:00',10,21,20,sehr gut
2170,DENW059,'30.01.2021 11:00',10,26,15,sehr gut
2171,DENW059,'30.01.2021 12:00',9,28,15,sehr gut
2172,DENW059,'30.01.2021 13:00',9,26,-,sehr gut
2173,DENW059,'30.01.2021 14:00',9,30,13,sehr gut
2174,DENW059,'30.01.2021 15:00',8,39,12,sehr gut
2175,DENW059,'30.01.2021 16:00',8,40,15,sehr gut
2176,DENW059,'30.01.2021 17:00',8,42,16,sehr gut
2177,DENW059,'30.01.2021 18:00',8,45,15,sehr gut
2178,DENW059,'30.01.2021 19:00',8,46,15,sehr gut
2179,DENW059,'30.01.2021 20:00',8,48,13,sehr gut
2180,DENW059,'30.01.2021 21:00',8,44,14,sehr gut
2181,DENW059,'30.01.2021 22:00',7,32,15,sehr gut
2182,DENW059,'30.01.2021 23:00',7,12,28,gut
2183,DENW059,'30.01.2021 24:00',7,-,25,gut
2184,DENW059,'31.01.2021 01:00',7,32,21,gut
2185,DENW059,'31.01.2021 02:00',7,38,18,sehr gut
2186,DENW059,'31.01.2021 03:00',7,43,12,sehr gut
2187,DENW059,'31.01.2021 04:00',7,37,15,sehr gut
2188,DENW059,'31.01.2021 05:00',7,40,12,sehr gut
2189,DENW059,'31.01.2021 06:00',7,38,15,sehr gut
2190,DENW059,'31.01.2021 07:00',7,33,18,sehr gut
2191,DENW059,'31.01.2021 08:00',8,27,22,gut
2192,DENW059,'31.01.2021 09:00',8,28,21,gut
2193,DENW059,'31.01.2021 10:00',8,35,15,sehr gut
2194,DENW059,'31.01.2021 11:00',7,41,8,sehr gut
2195,DENW059,'31.01.2021 12:00',7,52,6,sehr gut
2196,DENW059,'31.01.2021 13:00',7,59,6,sehr gut
2197,DENW059,'31.01.2021 14:00',8,58,-,sehr gut
2198,DENW059,'31.01.2021 15:00',8,54,5,sehr gut
2199,DENW059,'31.01.2021 16:00',8,49,7,sehr gut
2200,DENW059,'31.01.2021 17:00',8,45,9,sehr gut
2201,DENW059,'31.01.2021 18:00',8,42,11,sehr gut
2202,DENW059,'31.01.2021 19:00',8,39,13,sehr gut
2203,DENW059,'31.01.2021 20:00',8,38,12,sehr gut
2204,DENW059,'31.01.2021 21:00',8,38,12,sehr gut
2205,DENW059,'31.01.2021 22:00',8,36,13,sehr gut
2206,DENW059,'31.01.2021 23:00',8,36,12,sehr gut
2207,DENW059,'31.01.2021 24:00',8,36,10,sehr gut
2208,DENW059,'01.02.2021 01:00',6,-,11,sehr gut
2209,DENW059,'01.02.2021 02:00',6,34,10,sehr gut
2210,DENW059,'01.02.2021 03:00',6,32,10,sehr gut
2211,DENW059,'01.02.2021 04:00',6,30,11,sehr gut
2212,DENW059,'01.02.2021 05:00',6,28,11,sehr gut
2213,DENW059,'01.02.2021 06:00',6,25,13,sehr gut
2214,DENW059,'01.02.2021 07:00',6,22,16,sehr gut
2215,DENW059,'01.02.2021 08:00',6,20,19,sehr gut
2216,DENW059,'01.02.2021 09:00',6,15,25,gut
2217,DENW059,'01.02.2021 10:00',7,14,24,gut
2218,DENW059,'01.02.2021 11:00',7,15,23,gut
2219,DENW059,'01.02.2021 12:00',7,14,22,gut
2220,DENW059,'01.02.2021 13:00',7,14,21,gut
2221,DENW059,'01.02.2021 14:00',7,14,21,gut
2222,DENW059,'01.02.2021 15:00',7,10,-,sehr gut
2223,DENW059,'01.02.2021 16:00',7,7,29,gut
2224,DENW059,'01.02.2021 17:00',7,3,31,gut
2225,DENW059,'01.02.2021 18:00',8,0.9,34,gut
2226,DENW059,'01.02.2021 19:00',8,1,32,gut
2227,DENW059,'01.02.2021 20:00',7,0.7,31,gut
2228,DENW059,'01.02.2021 21:00',7,0.9,30,gut
2229,DENW059,'01.02.2021 22:00',7,0.7,29,gut
2230,DENW059,'01.02.2021 23:00',7,0.6,29,gut
2231,DENW059,'01.02.2021 24:00',7,0.7,29,gut
2232,DENW059,'02.02.2021 01:00',8,0.8,29,gut
2233,DENW059,'02.02.2021 02:00',8,-,29,gut
2234,DENW059,'02.02.2021 03:00',8,6,25,gut
2235,DENW059,'02.02.2021 04:00',8,8,21,gut
2236,DENW059,'02.02.2021 05:00',8,34,8,sehr gut
2237,DENW059,'02.02.2021 06:00',8,42,8,sehr gut
2238,DENW059,'02.02.2021 07:00',8,33,17,sehr gut
2239,DENW059,'02.02.2021 08:00',8,22,27,gut
2240,DENW059,'02.02.2021 09:00',8,11,31,gut
2241,DENW059,'02.02.2021 10:00',8,13,24,gut
2242,DENW059,'02.02.2021 11:00',8,15,22,gut
2243,DENW059,'02.02.2021 12:00',8,17,22,gut
2244,DENW059,'02.02.2021 13:00',8,23,18,sehr gut
2245,DENW059,'02.02.2021 14:00',8,16,25,gut
2246,DENW059,'02.02.2021 15:00',8,7,32,gut
2247,DENW059,'02.02.2021 16:00',8,21,-,sehr gut
2248,DENW059,'02.02.2021 17:00',8,28,40,gut
2249,DENW059,'02.02.2021 18:00',8,39,36,gut
2250,DENW059,'02.02.2021 19:00',8,48,26,gut
2251,DENW059,'02.02.2021 20:00',8,60,10,sehr gut
2252,DENW059,'02.02.2021 21:00',8,48,13,sehr gut
2253,DENW059,'02.02.2021 22:00',8,48,10,sehr gut
2254,DENW059,'02.02.2021 23:00',7,39,15,sehr gut
2255,DENW059,'02.02.2021 24:00',7,54,4,sehr gut
2256,DENW059,'03.02.2021 01:00',7,50,15,sehr gut
2257,DENW059,'03.02.2021 02:00',6,52,11,sehr gut
2258,DENW059,'03.02.2021 03:00',7,-,11,sehr gut
2259,DENW059,'03.02.2021 04:00',6,43,13,sehr gut
2260,DENW059,'03.02.2021 05:00',7,43,9,sehr gut
2261,DENW059,'03.02.2021 06:00',7,44,14,sehr gut
2262,DENW059,'03.02.2021 07:00',7,43,17,sehr gut
2263,DENW059,'03.02.2021 08:00',7,38,27,gut
2264,DENW059,'03.02.2021 09:00',7,28,36,gut
2265,DENW059,'03.02.2021 10:00',8,-,-,sehr gut
2266,DENW059,'03.02.2021 11:00',8,-,-,sehr gut
2267,DENW059,'03.02.2021 12:00',8,-,-,sehr gut
2268,DENW059,'03.02.2021 13:00',8,39,20,sehr gut
2269,DENW059,'03.02.2021 14:00',8,41,20,sehr gut
2270,DENW059,'03.02.2021 15:00',7,63,12,gut
2271,DENW059,'03.02.2021 16:00',7,66,11,gut
2272,DENW059,'03.02.2021 17:00',7,64,11,gut
2273,DENW059,'03.02.2021 18:00',7,58,11,sehr gut
2274,DENW059,'03.02.2021 19:00',7,48,22,gut
2275,DENW059,'03.02.2021 20:00',7,53,21,gut
2276,DENW059,'03.02.2021 21:00',6,48,15,sehr gut
2277,DENW059,'03.02.2021 22:00',6,56,15,sehr gut
2278,DENW059,'03.02.2021 23:00',6,60,13,sehr gut
2279,DENW059,'03.02.2021 24:00',6,62,8,gut
2280,DENW059,'04.02.2021 01:00',6,66,7,gut
2281,DENW059,'04.02.2021 02:00',6,58,8,sehr gut
2282,DENW059,'04.02.2021 03:00',6,54,13,sehr gut
2283,DENW059,'04.02.2021 04:00',6,58,10,sehr gut
2284,DENW059,'04.02.2021 05:00',7,58,10,sehr gut
2285,DENW059,'04.02.2021 06:00',7,46,21,gut
2286,DENW059,'04.02.2021 07:00',7,25,33,gut
2287,DENW059,'04.02.2021 08:00',7,6,52,mäßig
2288,DENW059,'04.02.2021 09:00',7,17,39,gut
2289,DENW059,'04.02.2021 10:00',7,19,36,gut
2290,DENW059,'04.02.2021 11:00',7,43,22,gut
2291,DENW059,'04.02.2021 12:00',7,56,15,sehr gut
2292,DENW059,'04.02.2021 13:00',7,64,-,gut
2293,DENW059,'04.02.2021 14:00',8,69,8,gut
2294,DENW059,'04.02.2021 15:00',8,65,11,gut
2295,DENW059,'04.02.2021 16:00',8,70,9,gut
2296,DENW059,'04.02.2021 17:00',8,67,7,gut
2297,DENW059,'04.02.2021 18:00',9,59,14,sehr gut
2298,DENW059,'04.02.2021 19:00',9,43,27,gut
2299,DENW059,'04.02.2021 20:00',9,23,49,mäßig
2300,DENW059,'04.02.2021 21:00',9,25,39,gut
2301,DENW059,'04.02.2021 22:00',10,34,28,gut
2302,DENW059,'04.02.2021 23:00',10,-,21,gut
2303,DENW059,'04.02.2021 24:00',10,36,22,gut
2304,DENW059,'05.02.2021 01:00',11,38,19,sehr gut
2305,DENW059,'05.02.2021 02:00',11,38,19,sehr gut
2306,DENW059,'05.02.2021 03:00',11,39,17,sehr gut
2307,DENW059,'05.02.2021 04:00',11,39,15,sehr gut
2308,DENW059,'05.02.2021 05:00',10,38,17,sehr gut
2309,DENW059,'05.02.2021 06:00',10,30,25,gut
2310,DENW059,'05.02.2021 07:00',10,32,22,gut
2311,DENW059,'05.02.2021 08:00',10,27,27,gut
2312,DENW059,'05.02.2021 09:00',10,20,34,gut
2313,DENW059,'05.02.2021 10:00',10,15,37,gut
2314,DENW059,'05.02.2021 11:00',10,15,34,gut
2315,DENW059,'05.02.2021 12:00',10,16,33,gut
2316,DENW059,'05.02.2021 13:00',11,18,28,gut
2317,DENW059,'05.02.2021 14:00',11,24,-,sehr gut
2318,DENW059,'05.02.2021 15:00',11,24,25,gut
2319,DENW059,'05.02.2021 16:00',11,26,24,gut
2320,DENW059,'05.02.2021 17:00',12,21,31,gut
2321,DENW059,'05.02.2021 18:00',12,6,43,mäßig
2322,DENW059,'05.02.2021 19:00',12,11,35,gut
2323,DENW059,'05.02.2021 20:00',12,8,38,gut
2324,DENW059,'05.02.2021 21:00',12,5,41,mäßig
2325,DENW059,'05.02.2021 22:00',12,5,36,gut
2326,DENW059,'05.02.2021 23:00',12,12,27,gut
2327,DENW059,'05.02.2021 24:00',12,-,25,gut
2328,DENW059,'06.02.2021 01:00',12,11,26,gut
2329,DENW059,'06.02.2021 02:00',12,18,20,sehr gut
2330,DENW059,'06.02.2021 03:00',12,22,15,sehr gut
2331,DENW059,'06.02.2021 04:00',12,25,13,sehr gut
2332,DENW059,'06.02.2021 05:00',12,24,14,sehr gut
2333,DENW059,'06.02.2021 06:00',12,27,15,sehr gut
2334,DENW059,'06.02.2021 07:00',12,21,23,gut
2335,DENW059,'06.02.2021 08:00',12,16,27,gut
2336,DENW059,'06.02.2021 09:00',12,13,28,gut
2337,DENW059,'06.02.2021 10:00',12,26,19,sehr gut
2338,DENW059,'06.02.2021 11:00',12,33,14,sehr gut
2339,DENW059,'06.02.2021 12:00',11,36,12,sehr gut
2340,DENW059,'06.02.2021 13:00',11,35,15,sehr gut
2341,DENW059,'06.02.2021 14:00',10,38,13,sehr gut
2342,DENW059,'06.02.2021 15:00',10,35,-,sehr gut
2343,DENW059,'06.02.2021 16:00',9,31,13,sehr gut
2344,DENW059,'06.02.2021 17:00',9,26,15,sehr gut
2345,DENW059,'06.02.2021 18:00',8,27,14,sehr gut
2346,DENW059,'06.02.2021 19:00',8,26,13,sehr gut
2347,DENW059,'06.02.2021 20:00',8,24,15,sehr gut
2348,DENW059,'06.02.2021 21:00',8,24,14,sehr gut
2349,DENW059,'06.02.2021 22:00',7,22,15,sehr gut
2350,DENW059,'06.02.2021 23:00',7,24,13,sehr gut
2351,DENW059,'06.02.2021 24:00',7,26,12,sehr gut
2352,DENW059,'07.02.2021 01:00',7,-,12,sehr gut
2353,DENW059,'07.02.2021 02:00',6,31,11,sehr gut
2354,DENW059,'07.02.2021 03:00',6,34,8,sehr gut
2355,DENW059,'07.02.2021 04:00',6,36,8,sehr gut
2356,DENW059,'07.02.2021 05:00',6,36,7,sehr gut
2357,DENW059,'07.02.2021 06:00',6,36,9,sehr gut
2358,DENW059,'07.02.2021 07:00',6,34,11,sehr gut
2359,DENW059,'07.02.2021 08:00',5,36,9,sehr gut
2360,DENW059,'07.02.2021 09:00',5,36,9,sehr gut
2361,DENW059,'07.02.2021 10:00',5,34,10,sehr gut
2362,DENW059,'07.02.2021 11:00',5,33,10,sehr gut
2363,DENW059,'07.02.2021 12:00',6,36,10,sehr gut
2364,DENW059,'07.02.2021 13:00',6,36,10,sehr gut
2365,DENW059,'07.02.2021 14:00',6,36,11,sehr gut
2366,DENW059,'07.02.2021 15:00',7,31,16,sehr gut
2367,DENW059,'07.02.2021 16:00',7,32,-,sehr gut
2368,DENW059,'07.02.2021 17:00',8,29,17,sehr gut
2369,DENW059,'07.02.2021 18:00',8,29,17,sehr gut
2370,DENW059,'07.02.2021 19:00',9,32,15,sehr gut
2371,DENW059,'07.02.2021 20:00',9,33,14,sehr gut
2372,DENW059,'07.02.2021 21:00',9,35,12,sehr gut
2373,DENW059,'07.02.2021 22:00',9,36,12,sehr gut
2374,DENW059,'07.02.2021 23:00',10,35,13,sehr gut
2375,DENW059,'07.02.2021 24:00',10,39,10,sehr gut
2376,DENW059,'08.02.2021 01:00',11,42,9,sehr gut
2377,DENW059,'08.02.2021 02:00',11,-,8,sehr gut
2378,DENW059,'08.02.2021 03:00',12,42,8,sehr gut
2379,DENW059,'08.02.2021 04:00',12,42,8,sehr gut
2380,DENW059,'08.02.2021 05:00',13,44,8,sehr gut
2381,DENW059,'08.02.2021 06:00',13,44,8,sehr gut
2382,DENW059,'08.02.2021 07:00',14,43,10,sehr gut
2383,DENW059,'08.02.2021 08:00',15,40,15,sehr gut
2384,DENW059,'08.02.2021 09:00',15,40,15,sehr gut
2385,DENW059,'08.02.2021 10:00',16,42,14,sehr gut
2386,DENW059,'08.02.2021 11:00',16,44,15,sehr gut
2387,DENW059,'08.02.2021 12:00',16,46,14,sehr gut
2388,DENW059,'08.02.2021 13:00',16,48,14,sehr gut
2389,DENW059,'08.02.2021 14:00',17,46,15,sehr gut
2390,DENW059,'08.02.2021 15:00',17,47,16,sehr gut
2391,DENW059,'08.02.2021 16:00',17,45,18,sehr gut
2392,DENW059,'08.02.2021 17:00',17,46,-,sehr gut
2393,DENW059,'08.02.2021 18:00',17,46,19,sehr gut
2394,DENW059,'08.02.2021 19:00',18,45,22,gut
2395,DENW059,'08.02.2021 20:00',18,49,18,sehr gut
2396,DENW059,'08.02.2021 21:00',18,49,17,sehr gut
2397,DENW059,'08.02.2021 22:00',18,50,16,sehr gut
2398,DENW059,'08.02.2021 23:00',19,51,14,sehr gut
2399,DENW059,'08.02.2021 24:00',19,50,14,sehr gut
2400,DENW059,'09.02.2021 01:00',20,50,12,sehr gut
2401,DENW059,'09.02.2021 02:00',20,49,12,sehr gut
2402,DENW059,'09.02.2021 03:00',20,-,14,sehr gut
2403,DENW059,'09.02.2021 04:00',20,45,15,sehr gut
2404,DENW059,'09.02.2021 05:00',20,46,15,sehr gut
2405,DENW059,'09.02.2021 06:00',21,42,20,gut
2406,DENW059,'09.02.2021 07:00',21,36,28,gut
2407,DENW059,'09.02.2021 08:00',21,35,29,gut
2408,DENW059,'09.02.2021 09:00',21,34,31,gut
2409,DENW059,'09.02.2021 10:00',21,40,26,gut
2410,DENW059,'09.02.2021 11:00',21,44,25,gut
2411,DENW059,'09.02.2021 12:00',22,52,20,gut
2412,DENW059,'09.02.2021 13:00',21,60,15,gut
2413,DENW059,'09.02.2021 14:00',21,53,21,gut
2414,DENW059,'09.02.2021 15:00',21,43,32,gut
2415,DENW059,'09.02.2021 16:00',21,51,26,gut
2416,DENW059,'09.02.2021 17:00',21,52,26,gut
2417,DENW059,'09.02.2021 18:00',21,47,-,gut
2418,DENW059,'09.02.2021 19:00',21,46,29,gut
2419,DENW059,'09.02.2021 20:00',22,46,30,gut
2420,DENW059,'09.02.2021 21:00',22,43,31,gut
2421,DENW059,'09.02.2021 22:00',22,45,25,gut
2422,DENW059,'09.02.2021 23:00',23,43,25,gut
2423,DENW059,'09.02.2021 24:00',22,46,21,gut
2424,DENW059,'10.02.2021 01:00',22,49,19,gut
2425,DENW059,'10.02.2021 02:00',22,48,20,gut
2426,DENW059,'10.02.2021 03:00',22,46,20,gut
2427,DENW059,'10.02.2021 04:00',23,-,19,gut
2428,DENW059,'10.02.2021 05:00',23,37,29,gut
2429,DENW059,'10.02.2021 06:00',23,42,26,gut
2430,DENW059,'10.02.2021 07:00',23,27,41,mäßig
2431,DENW059,'10.02.2021 08:00',23,20,50,mäßig
2432,DENW059,'10.02.2021 09:00',23,26,47,mäßig
2433,DENW059,'10.02.2021 10:00',24,42,31,gut
2434,DENW059,'10.02.2021 11:00',23,54,20,gut
2435,DENW059,'10.02.2021 12:00',23,61,15,gut
2436,DENW059,'10.02.2021 13:00',23,68,10,gut
2437,DENW059,'10.02.2021 14:00',23,71,8,gut
2438,DENW059,'10.02.2021 15:00',23,66,13,gut
2439,DENW059,'10.02.2021 16:00',23,61,17,gut
2440,DENW059,'10.02.2021 17:00',23,56,21,gut
2441,DENW059,'10.02.2021 18:00',22,46,31,gut
2442,DENW059,'10.02.2021 19:00',22,27,-,gut
2443,DENW059,'10.02.2021 20:00',22,23,50,mäßig
2444,DENW059,'10.02.2021 21:00',22,40,36,gut
2445,DENW059,'10.02.2021 22:00',21,50,25,gut
2446,DENW059,'10.02.2021 23:00',21,50,24,gut
2447,DENW059,'10.02.2021 24:00',20,48,24,gut
2448,DENW059,'11.02.2021 01:00',20,45,24,gut
2449,DENW059,'11.02.2021 02:00',19,39,26,gut
2450,DENW059,'11.02.2021 03:00',19,4,49,mäßig
2451,DENW059,'11.02.2021 04:00',19,0.9,50,mäßig
2452,DENW059,'11.02.2021 05:00',18,-,47,mäßig
2453,DENW059,'11.02.2021 06:00',18,0.4,51,mäßig
2454,DENW059,'11.02.2021 07:00',17,0.2,55,mäßig
2455,DENW059,'11.02.2021 08:00',17,0.2,62,mäßig
2456,DENW059,'11.02.2021 09:00',18,0.5,70,mäßig
2457,DENW059,'11.02.2021 10:00',18,3,66,mäßig
2458,DENW059,'11.02.2021 11:00',18,19,55,mäßig
2459,DENW059,'11.02.2021 12:00',18,36,40,gut
2460,DENW059,'11.02.2021 13:00',19,52,22,gut
2461,DENW059,'11.02.2021 14:00',19,61,15,gut
2462,DENW059,'11.02.2021 15:00',18,66,13,gut
2463,DENW059,'11.02.2021 16:00',18,62,17,gut
2464,DENW059,'11.02.2021 17:00',18,54,27,gut
2465,DENW059,'11.02.2021 18:00',18,56,27,gut
2466,DENW059,'11.02.2021 19:00',17,50,27,gut
2467,DENW059,'11.02.2021 20:00',17,48,-,sehr gut
2468,DENW059,'11.02.2021 21:00',16,51,25,gut
2469,DENW059,'11.02.2021 22:00',16,51,25,gut
2470,DENW059,'11.02.2021 23:00',16,55,21,gut
2471,DENW059,'11.02.2021 24:00',16,57,16,sehr gut
2472,DENW059,'12.02.2021 01:00',16,57,16,sehr gut
2473,DENW059,'12.02.2021 02:00',15,53,19,sehr gut
2474,DENW059,'12.02.2021 03:00',15,52,18,sehr gut
2475,DENW059,'12.02.2021 04:00',15,39,24,gut
2476,DENW059,'12.02.2021 05:00',15,40,20,sehr gut
2477,DENW059,'12.02.2021 06:00',14,-,27,gut
2478,DENW059,'12.02.2021 07:00',13,31,37,gut
2479,DENW059,'12.02.2021 08:00',13,27,45,mäßig
2480,DENW059,'12.02.2021 09:00',12,20,54,mäßig
2481,DENW059,'12.02.2021 10:00',12,51,22,gut
2482,DENW059,'12.02.2021 11:00',11,60,15,sehr gut
2483,DENW059,'12.02.2021 12:00',11,70,8,gut
2484,DENW059,'12.02.2021 13:00',10,69,8,gut
2485,DENW059,'12.02.2021 14:00',10,70,8,gut
2486,DENW059,'12.02.2021 15:00',10,72,7,gut
2487,DENW059,'12.02.2021 16:00',11,73,8,gut
2488,DENW059,'12.02.2021 17:00',11,72,9,gut
2489,DENW059,'12.02.2021 18:00',10,69,12,gut
2490,DENW059,'12.02.2021 19:00',10,67,13,gut
2491,DENW059,'12.02.2021 20:00',10,65,15,gut
2492,DENW059,'12.02.2021 21:00',10,63,-,gut
2493,DENW059,'12.02.2021 22:00',10,68,12,gut
2494,DENW059,'12.02.2021 23:00',10,65,13,gut
2495,DENW059,'12.02.2021 24:00',10,66,11,gut
2496,DENW059,'13.02.2021 01:00',10,68,9,gut
2497,DENW059,'13.02.2021 02:00',10,67,10,gut
2498,DENW059,'13.02.2021 03:00',10,66,10,gut
2499,DENW059,'13.02.2021 04:00',10,67,9,gut
2500,DENW059,'13.02.2021 05:00',10,58,17,sehr gut
2501,DENW059,'13.02.2021 06:00',10,43,27,gut
2502,DENW059,'13.02.2021 07:00',10,-,22,gut
2503,DENW059,'13.02.2021 08:00',10,44,26,gut
2504,DENW059,'13.02.2021 09:00',10,44,24,gut
2505,DENW059,'13.02.2021 10:00',10,58,16,sehr gut
2506,DENW059,'13.02.2021 11:00',10,65,11,gut
2507,DENW059,'13.02.2021 12:00',10,71,8,gut
2508,DENW059,'13.02.2021 13:00',9,74,6,gut
2509,DENW059,'13.02.2021 14:00',9,78,6,gut
2510,DENW059,'13.02.2021 15:00',9,81,5,gut
2511,DENW059,'13.02.2021 16:00',9,81,6,gut
2512,DENW059,'13.02.2021 17:00',9,80,7,gut
2513,DENW059,'13.02.2021 18:00',9,78,10,gut
2514,DENW059,'13.02.2021 19:00',8,65,20,gut
2515,DENW059,'13.02.2021 20:00',8,67,17,gut
2516,DENW059,'13.02.2021 21:00',9,66,16,gut
2517,DENW059,'13.02.2021 22:00',9,64,-,gut
2518,DENW059,'13.02.2021 23:00',9,59,20,sehr gut
2519,DENW059,'13.02.2021 24:00',9,57,18,sehr gut
2520,DENW059,'14.02.2021 01:00',9,55,18,sehr gut
2521,DENW059,'14.02.2021 02:00',9,55,17,sehr gut
2522,DENW059,'14.02.2021 03:00',9,57,15,sehr gut
2523,DENW059,'14.02.2021 04:00',9,56,15,sehr gut
2524,DENW059,'14.02.2021 05:00',9,56,13,sehr gut
2525,DENW059,'14.02.2021 06:00',9,56,15,sehr gut
2526,DENW059,'14.02.2021 07:00',9,55,15,sehr gut
2527,DENW059,'14.02.2021 08:00',9,55,16,sehr gut
2528,DENW059,'14.02.2021 09:00',9,60,12,sehr gut
2529,DENW059,'14.02.2021 10:00',8,58,11,sehr gut
2530,DENW059,'14.02.2021 11:00',9,56,14,sehr gut
2531,DENW059,'14.02.2021 12:00',9,62,10,gut
2532,DENW059,'14.02.2021 13:00',9,67,8,gut
2533,DENW059,'14.02.2021 14:00',9,69,7,gut
2534,DENW059,'14.02.2021 15:00',9,68,9,gut
2535,DENW059,'14.02.2021 16:00',9,69,8,gut
2536,DENW059,'14.02.2021 17:00',9,65,12,gut
2537,DENW059,'14.02.2021 18:00',9,60,17,sehr gut
2538,DENW059,'14.02.2021 19:00',9,57,19,sehr gut
2539,DENW059,'14.02.2021 20:00',9,58,17,sehr gut
2540,DENW059,'14.02.2021 21:00',9,55,18,sehr gut
2541,DENW059,'14.02.2021 22:00',9,56,17,sehr gut
2542,DENW059,'14.02.2021 23:00',9,-,-,sehr gut
2543,DENW059,'14.02.2021 24:00',9,57,15,sehr gut
2544,DENW059,'15.02.2021 01:00',9,56,14,sehr gut
2545,DENW059,'15.02.2021 02:00',9,52,16,sehr gut
2546,DENW059,'15.02.2021 03:00',8,53,14,sehr gut
2547,DENW059,'15.02.2021 04:00',9,54,13,sehr gut
2548,DENW059,'15.02.2021 05:00',9,50,17,sehr gut
2549,DENW059,'15.02.2021 06:00',9,47,19,sehr gut
2550,DENW059,'15.02.2021 07:00',9,46,20,sehr gut
2551,DENW059,'15.02.2021 08:00',9,45,21,gut
2552,DENW059,'15.02.2021 09:00',9,39,26,gut
2553,DENW059,'15.02.2021 10:00',10,42,24,gut
2554,DENW059,'15.02.2021 11:00',10,43,22,gut
2555,DENW059,'15.02.2021 12:00',11,45,18,sehr gut
2556,DENW059,'15.02.2021 13:00',11,45,18,sehr gut
2557,DENW059,'15.02.2021 14:00',11,41,23,gut
2558,DENW059,'15.02.2021 15:00',11,32,31,gut
2559,DENW059,'15.02.2021 16:00',11,34,26,gut
2560,DENW059,'15.02.2021 17:00',12,31,29,gut
2561,DENW059,'15.02.2021 18:00',12,25,35,gut
2562,DENW059,'15.02.2021 19:00',12,16,45,mäßig
2563,DENW059,'15.02.2021 20:00',12,10,50,mäßig
2564,DENW059,'15.02.2021 21:00',12,8,50,mäßig
2565,DENW059,'15.02.2021 22:00',13,8,48,mäßig
2566,DENW059,'15.02.2021 23:00',13,9,47,mäßig
2567,DENW059,'15.02.2021 24:00',13,-,-,sehr gut
2568,DENW059,'16.02.2021 01:00',13,5,39,gut
2569,DENW059,'16.02.2021 02:00',14,12,30,gut
2570,DENW059,'16.02.2021 03:00',14,18,25,gut
2571,DENW059,'16.02.2021 04:00',14,17,28,gut
2572,DENW059,'16.02.2021 05:00',14,21,22,gut
2573,DENW059,'16.02.2021 06:00',14,19,24,gut
2574,DENW059,'16.02.2021 07:00',13,16,26,gut
2575,DENW059,'16.02.2021 08:00',13,10,33,gut
2576,DENW059,'16.02.2021 09:00',13,9,35,gut
2577,DENW059,'16.02.2021 10:00',12,10,34,gut
2578,DENW059,'16.02.2021 11:00',12,17,29,gut
2579,DENW059,'16.02.2021 12:00',12,24,26,gut
2580,DENW059,'16.02.2021 13:00',12,30,22,gut
2581,DENW059,'16.02.2021 14:00',12,33,21,gut
2582,DENW059,'16.02.2021 15:00',12,37,20,sehr gut
2583,DENW059,'16.02.2021 16:00',12,41,20,sehr gut
2584,DENW059,'16.02.2021 17:00',12,38,24,gut
2585,DENW059,'16.02.2021 18:00',12,26,34,gut
2586,DENW059,'16.02.2021 19:00',12,19,40,gut
2587,DENW059,'16.02.2021 20:00',12,28,34,gut
2588,DENW059,'16.02.2021 21:00',11,30,32,gut
2589,DENW059,'16.02.2021 22:00',11,43,18,sehr gut
2590,DENW059,'16.02.2021 23:00',11,45,8,sehr gut
2591,DENW059,'16.02.2021 24:00',10,41,13,sehr gut
2592,DENW059,'17.02.2021 01:00',10,-,-,sehr gut
2593,DENW059,'17.02.2021 02:00',10,50,20,sehr gut
2594,DENW059,'17.02.2021 03:00',10,54,19,sehr gut
2595,DENW059,'17.02.2021 04:00',10,47,24,gut
2596,DENW059,'17.02.2021 05:00',10,55,15,sehr gut
2597,DENW059,'17.02.2021 06:00',10,49,21,gut
2598,DENW059,'17.02.2021 07:00',10,56,12,sehr gut
2599,DENW059,'17.02.2021 08:00',10,15,44,mäßig
2600,DENW059,'17.02.2021 09:00',10,18,42,mäßig
